month,dong_cluster,complaint_count,processed_count,processing_days_median,parking_count,parking_share
202412,신흥동,33,29,0.0,1,0.030303030303030304
202412,심곡동,4,2,0.0,0,0.0
202412,야탑동,54,41,0.0,5,0.09259259259259259
202412,양지동,1,1,3.0,0,0.0
202412,여수동,21,11,1.0,0,0.0
202412,운중동,12,12,0.5,4,0.3333333333333333
202412,은행동,80,56,1.0,0,0.0
202412,이매동,8,6,0.0,1,0.125
202412,정자동,54,46,0.0,12,0.2222222222222222
202412,중앙동,15,13,1.0,1,0.06666666666666667
202412,창곡동,26,22,0.0,1,0.038461538461538464
202412,태평동,44,36,0.0,10,0.22727272727272727
202412,판교동,39,35,0.0,1,0.02564102564102564
202412,하대원동,23,17,1.0,1,0.043478260869565216
