month,dong_cluster,topic_group,complaint_count,month_cluster_total,topic_share
202406,여수동,시설노후/파손,23,24,0.9583333333333334
202406,운중동,불법주정차,3,6,0.5
202406,운중동,시설노후/파손,3,6,0.5
202406,은행동,불법주정차,1,79,0.012658227848101266
202406,은행동,생활환경,1,79,0.012658227848101266
202406,은행동,시설노후/파손,77,79,0.9746835443037974
202406,이매동,불법주정차,1,16,0.0625
202406,이매동,시설노후/파손,15,16,0.9375
202406,정자동,불법광고물,2,46,0.043478260869565216
202406,정자동,불법주정차,4,46,0.08695652173913043
202406,정자동,생활환경,2,46,0.043478260869565216
202406,정자동,시설노후/파손,38,46,0.8260869565217391
202406,중앙동,불법주정차,1,11,0.09090909090909091
202406,중앙동,시설노후/파손,10,11,0.9090909090909091
202406,창곡동,불법주정차,2,18,0.1111111111111111
202406,창곡동,생활환경,1,18,0.05555555555555555
202406,창곡동,시설노후/파손,15,18,0.8333333333333334
202406,태평동,공원/녹지,1,57,0.017543859649122806
202406,태평동,불법광고물,3,57,0.05263157894736842
202406,태평동,불법주정차,4,57,0.07017543859649122
202406,태평동,시설노후/파손,49,57,0.8596491228070176
202406,판교동,시설노후/파손,27,27,1.0
202406,하대원동,불법주정차,2,28,0.07142857142857142
202406,하대원동,시설노후/파손,26,28,0.9285714285714286
202407,갈현동,시설노후/파손,11,11,1.0
202407,고등동,시설노후/파손,11,11,1.0
202407,구미동,시설노후/파손,27,27,1.0
202407,궁내동,시설노후/파손,2,2,1.0
202407,금곡동,시설노후/파손,19,19,1.0
202407,금광동,시설노후/파손,19,19,1.0
202407,금토동,시설노후/파손,5,5,1.0
202407,단대동,시설노후/파손,3,3,1.0
202407,대장동,시설노후/파손,3,3,1.0
202407,도촌동,시설노후/파손,9,9,1.0
202407,동원동,시설노후/파손,1,1,1.0
202407,백현동,시설노후/파손,21,21,1.0
202407,복정동,시설노후/파손,5,5,1.0
202407,분당동,시설노후/파손,7,7,1.0
202407,사송동,불법광고물,1,11,0.09090909090909091
202407,사송동,시설노후/파손,10,11,0.9090909090909091
202407,삼평동,불법광고물,1,28,0.03571428571428571
202407,삼평동,시설노후/파손,27,28,0.9642857142857143
202407,상대원동,시설노후/파손,46,46,1.0
202407,서현동,시설노후/파손,21,21,1.0
202407,성남동,불법광고물,1,32,0.03125
202407,성남동,시설노후/파손,31,32,0.96875
202407,수내동,시설노후/파손,31,31,1.0
202407,수진동,시설노후/파손,10,10,1.0
202407,시흥동,시설노후/파손,7,7,1.0
202407,신흥동,시설노후/파손,16,16,1.0
202407,심곡동,시설노후/파손,1,1,1.0
202407,야탑동,시설노후/파손,39,39,1.0
202407,양지동,시설노후/파손,6,6,1.0
202407,여수동,시설노후/파손,9,9,1.0
202407,운중동,시설노후/파손,27,27,1.0
202407,율동,불법광고물,1,4,0.25
202407,율동,시설노후/파손,3,4,0.75
202407,은행동,시설노후/파손,8,8,1.0
202407,이매동,시설노후/파손,12,12,1.0
202407,정자동,불법광고물,1,42,0.023809523809523808
202407,정자동,시설노후/파손,41,42,0.9761904761904762
202407,중앙동,시설노후/파손,19,19,1.0
202407,창곡동,불법광고물,1,33,0.030303030303030304
202407,창곡동,시설노후/파손,32,33,0.9696969696969697
202407,태평동,불법광고물,1,19,0.05263157894736842
202407,태평동,시설노후/파손,18,19,0.9473684210526315
202407,판교동,시설노후/파손,17,17,1.0
202407,하대원동,시설노후/파손,6,6,1.0
202408,갈현동,교통서비스,1,1,1.0
202408,고등동,기타,1,3,0.3333333333333333
202408,고등동,불법주정차,1,3,0.3333333333333333
202408,고등동,생활환경,1,3,0.3333333333333333
202408,구미동,불법주정차,1,4,0.25
202408,구미동,생활환경,1,4,0.25
202408,구미동,시설노후/파손,2,4,0.5
202408,금곡동,기타,1,5,0.2
202408,금곡동,불법주정차,1,5,0.2
202408,금곡동,시설노후/파손,3,5,0.6
202408,금광동,기타,3,3,1.0
202408,단대동,생활환경,2,2,1.0
202408,대장동,교통서비스,2,5,0.4
202408,대장동,생활환경,1,5,0.2
202408,대장동,시설노후/파손,2,5,0.4
202408,도촌동,불법주정차,1,1,1.0
202408,백현동,공원/녹지,1,5,0.2
202408,백현동,생활환경,4,5,0.8
202408,복정동,공원/녹지,1,3,0.3333333333333333
202408,복정동,불법주정차,1,3,0.3333333333333333
202408,복정동,시설노후/파손,1,3,0.3333333333333333
202408,분당동,보행/도로안전,1,2,0.5
202408,분당동,시설노후/파손,1,2,0.5
202408,산성동,불법주정차,1,1,1.0
202408,삼평동,보행/도로안전,2,3,0.6666666666666666
202408,삼평동,시설노후/파손,1,3,0.3333333333333333
202408,상대원동,교통서비스,1,2,0.5
202408,상대원동,기타,1,2,0.5
202408,서현동,기타,1,1,1.0
202408,성남동,기타,2,6,0.3333333333333333
202408,성남동,생활환경,2,6,0.3333333333333333
202408,성남동,시설노후/파손,2,6,0.3333333333333333
202408,수내동,공원/녹지,1,1,1.0
202408,수진동,기타,1,3,0.3333333333333333
202408,수진동,불법주정차,1,3,0.3333333333333333
